,sample,substrate,year,branch,point,BP,BPS,YBP,YS,old_name
Y15B04P04LM,Y15B04P04LM,live_bryos,Y15,B04,P04,B04P04,B04P04LM,Y15B04P04,Y15LM,15B04P04LMOS6
Y15B04P08BK,Y15B04P08BK,outer_bark,Y15,B04,P08,B04P08,B04P08BK,Y15B04P08,Y15BK,15B04P08BRKS138
Y15B04P08LM,Y15B04P08LM,live_bryos,Y15,B04,P08,B04P08,B04P08LM,Y15B04P08,Y15LM,15B04P08LMOS10
Y15B04P13BK,Y15B04P13BK,outer_bark,Y15,B04,P13,B04P13,B04P13BK,Y15B04P13,Y15BK,15B04P13BRKS143
Y15B04P13DM,Y15B04P13DM,dead_bryos,Y15,B04,P13,B04P13,B04P13DM,Y15B04P13,Y15DM,15B04P13DMOS191
Y15B04P13LM,Y15B04P13LM,live_bryos,Y15,B04,P13,B04P13,B04P13LM,Y15B04P13,Y15LM,15B04P13LMOS15
Y15B04P14BK,Y15B04P14BK,outer_bark,Y15,B04,P14,B04P14,B04P14BK,Y15B04P14,Y15BK,15B04P14BRKS144
Y15B04P15BK,Y15B04P15BK,outer_bark,Y15,B04,P15,B04P15,B04P15BK,Y15B04P15,Y15BK,15B04P15BRKS145
Y15B04P15DM,Y15B04P15DM,dead_bryos,Y15,B04,P15,B04P15,B04P15DM,Y15B04P15,Y15DM,15B04P15DMOS84
Y15B04P15WD,Y15B04P15WD,inner_bark,Y15,B04,P15,B04P15,B04P15WD,Y15B04P15,Y15WD,15B04P15MSCS82
Y15B04P20BK,Y15B04P20BK,outer_bark,Y15,B04,P20,B04P20,B04P20BK,Y15B04P20,Y15BK,15B04P20BRKS150
Y15B04P20DM,Y15B04P20DM,dead_bryos,Y15,B04,P20,B04P20,B04P20DM,Y15B04P20,Y15DM,15B04P20DMOS89
Y15B04P20LM,Y15B04P20LM,live_bryos,Y15,B04,P20,B04P20,B04P20LM,Y15B04P20,Y15LM,15B04P20LMOS20
Y15B04P24BK,Y15B04P24BK,outer_bark,Y15,B04,P24,B04P24,B04P24BK,Y15B04P24,Y15BK,15B04P24BRKS154
Y15B04P24DM,Y15B04P24DM,dead_bryos,Y15,B04,P24,B04P24,B04P24DM,Y15B04P24,Y15DM,15B04P24DMOS93
Y15B04P25BK,Y15B04P25BK,outer_bark,Y15,B04,P25,B04P25,B04P25BK,Y15B04P25,Y15BK,15B04P25BRKS155
Y15B04P25DM,Y15B04P25DM,dead_bryos,Y15,B04,P25,B04P25,B04P25DM,Y15B04P25,Y15DM,15B04P25DMOS94
Y15B04P25LM,Y15B04P25LM,live_bryos,Y15,B04,P25,B04P25,B04P25LM,Y15B04P25,Y15LM,15B04P25LMOS25
Y15B04P26BK,Y15B04P26BK,outer_bark,Y15,B04,P26,B04P26,B04P26BK,Y15B04P26,Y15BK,15B04P26BRKS156
Y15B04P26DM,Y15B04P26DM,dead_bryos,Y15,B04,P26,B04P26,B04P26DM,Y15B04P26,Y15DM,15B04P26DMOS95
Y15B04P27BK,Y15B04P27BK,outer_bark,Y15,B04,P27,B04P27,B04P27BK,Y15B04P27,Y15BK,15B04P27BRKS157
Y15B04P27DM,Y15B04P27DM,dead_bryos,Y15,B04,P27,B04P27,B04P27DM,Y15B04P27,Y15DM,15B04P27DMOS96
Y15B04P27LM,Y15B04P27LM,live_bryos,Y15,B04,P27,B04P27,B04P27LM,Y15B04P27,Y15LM,15B04P27LMOS27
Y15B05P01BK,Y15B05P01BK,outer_bark,Y15,B05,P01,B05P01,B05P01BK,Y15B05P01,Y15BK,15B05P01BRKS158
Y15B05P01DM,Y15B05P01DM,dead_bryos,Y15,B05,P01,B05P01,B05P01DM,Y15B05P01,Y15DM,15B05P01DMOS190
Y15B05P02BK,Y15B05P02BK,outer_bark,Y15,B05,P02,B05P02,B05P02BK,Y15B05P02,Y15BK,15B05P02BRKS159
Y15B05P02DM,Y15B05P02DM,dead_bryos,Y15,B05,P02,B05P02,B05P02DM,Y15B05P02,Y15DM,15B05P02DMOS189
Y15B05P02LM,Y15B05P02LM,live_bryos,Y15,B05,P02,B05P02,B05P02LM,Y15B05P02,Y15LM,15B05P02LMOS28
